hall_ticket_no,student_name,parent_name,parent_phone,maths1a,maths1b,physics1,chemistry1,maths2a,maths2b,physics2,chemistry2,ipe_total,eamcet_marks,final_score,rank_position
HTNO20250889,Angelica Pennington,Rebecca Lowe,6613421685,71,69,51,23,69,74,33,44,434,160,95.0925925925926,1
HTNO20250851,Lauren Brown,Daniel Duffy,8436619208,32,66,59,55,52,69,46,47,426,160,94.72222222222223,2
HTNO20250370,Eric Wright,Manuel Smith,6582524394,75,69,25,50,48,74,58,49,448,156,93.86574074074073,3
HTNO20250769,Richard Orozco,Austin King,7532003730,50,49,47,37,65,73,40,55,416,158,93.32175925925927,4
HTNO20250393,Melissa Smith,Gloria Ferguson,6051234958,74,73,50,42,62,70,58,54,483,151,93.14236111111111,5
HTNO20250814,Ian Whitaker,Samuel Bailey,9123346555,50,55,50,22,61,48,59,43,388,160,92.96296296296296,6
HTNO20250518,Brian Barnett,Sabrina Morgan,9188340982,67,68,59,55,41,60,58,36,444,154,92.74305555555556,7
HTNO20250618,Michelle Wilson,Tina Key,9121864089,36,72,60,51,64,65,46,50,444,154,92.74305555555556,8
HTNO20250736,Kathleen Castro,Amy Long,8833469859,34,48,60,25,37,63,56,59,382,160,92.68518518518519,9
HTNO20250139,Tammy Garcia,Erik Patterson,6388139765,43,32,30,54,63,73,60,36,391,159,92.63310185185185,10
HTNO20250536,Bonnie Andrews,Dr. Joseph Montes,8993910670,69,40,59,31,72,58,36,31,396,158,92.39583333333333,11
HTNO20250836,Trevor Gardner,Hector Bryant,9643917816,43,41,47,38,61,57,55,54,396,158,92.39583333333333,12
HTNO20250283,Laurie Shaffer,Brittany Savage,9389879375,63,56,35,47,74,48,24,59,406,157,92.3900462962963,13
HTNO20250136,Patrick Barker,Natasha Patrick,6723114265,62,66,50,56,71,58,58,44,465,151,92.30902777777777,14
HTNO20250839,Jamie Graham,Frank Kirk,6590895454,54,36,48,48,63,53,43,39,384,159,92.30902777777777,15
HTNO20250192,Jeanette Jacobs,Wendy Williams,7199657002,63,65,22,23,45,41,57,57,373,160,92.26851851851852,16
HTNO20250627,Deborah Munoz,Holly Smith,9042044307,66,35,46,56,70,63,54,43,433,154,92.23379629629629,17
HTNO20250733,Emily Garza,Heather Barr,6248776421,56,73,52,57,54,64,48,28,432,154,92.1875,18
HTNO20250037,Lauren Reynolds,Cheryl French,9355809616,48,37,38,50,70,52,37,49,381,159,92.17013888888889,19
HTNO20250900,Mary Nielsen,Rebecca Butler,6104929102,59,54,32,56,66,69,48,23,407,156,91.9675925925926,20
HTNO20250696,Eric Nelson,Chelsea James,9477993980,74,72,24,40,44,57,45,50,406,156,91.9212962962963,21
HTNO20250021,Chad Morgan,Melissa Smith,6384498268,56,63,57,57,39,51,32,20,375,159,91.89236111111111,22
HTNO20250363,Erin Richardson,Cheryl Foster,6535317813,70,48,36,57,51,64,33,56,415,155,91.86921296296296,23
HTNO20250578,Cindy Hoffman MD,Robert Perez,8144482592,58,49,45,58,68,75,46,26,425,154,91.86342592592592,24
HTNO20250671,Maria Neal,Brian Garcia,9333901183,68,59,42,48,35,55,43,32,382,158,91.74768518518519,25
HTNO20250023,Jerry Willis,Mr. Charles Miller,6635815401,31,60,52,56,33,56,60,54,402,156,91.73611111111111,26
HTNO20250938,Megan Fleming,Mr. Bradley Walters,6823852256,51,63,38,51,63,41,48,25,380,158,91.6550925925926,27
HTNO20250810,Lauren Lam,Robert Campbell,7041256816,51,47,38,46,68,67,59,44,420,154,91.63194444444444,28
HTNO20250188,Kristin Maxwell,Rebecca Anderson,9127438168,68,44,21,46,46,48,27,56,356,160,91.48148148148148,29
HTNO20250718,James Robinson,Laura Richardson,9573589001,54,34,32,46,48,73,47,22,356,160,91.48148148148148,30
HTNO20250729,Donald Weeks,Gloria Anderson,7772981704,57,59,25,35,69,67,52,32,396,156,91.45833333333333,31
HTNO20250719,Shane Banks,Melissa Webb,7799195850,71,50,27,26,39,45,57,59,374,158,91.37731481481481,32
HTNO20250592,Kathryn Castro,Jennifer Hill,9519710743,41,55,31,22,64,38,52,50,353,160,91.3425925925926,33
HTNO20250831,Daniel Gilbert,Amanda Wu,8560055853,30,68,28,36,42,58,58,40,360,159,91.19791666666666,34
HTNO20250955,Amy Green,Jennifer Johnson,8159947073,73,57,39,20,46,46,27,54,362,158,90.82175925925927,35
HTNO20250079,Edwin Villegas,Angel Cook,6189287777,59,48,31,44,74,45,35,35,371,157,90.76967592592592,36
HTNO20250016,Jake Miller,David Johnson,8496901559,54,69,57,48,42,67,33,31,401,154,90.75231481481481,37
HTNO20250344,Robert Payne,Deborah Stewart,6780327976,60,75,50,31,48,48,37,50,399,154,90.65972222222223,38
HTNO20250935,Lauren Hunter,Lisa Prince,6925402493,68,64,28,54,53,38,23,30,358,158,90.63657407407408,39
HTNO20250100,David Collins,Lauren Ball MD,7284777945,67,40,41,41,69,38,43,28,367,157,90.58449074074073,40
HTNO20250419,Samantha Massey,Thomas Morris,8681869833,45,63,53,35,62,33,47,37,375,156,90.48611111111111,41
HTNO20250147,Anthony Herman,Jennifer Brooks,9541195111,34,72,28,24,38,52,51,34,333,160,90.41666666666667,42
HTNO20250309,Brandon Nunez,Timothy Hughes,8552521037,50,30,23,32,75,49,41,42,342,159,90.36458333333333,43
HTNO20250319,Autumn Coleman,Scott Boyd,6457439479,72,67,54,45,73,54,25,22,412,152,90.32407407407408,44
HTNO20250703,James Morales,Gary Wilson,9887813955,63,70,40,55,37,39,30,27,361,157,90.30671296296296,45
HTNO20250115,Cassandra Jones,Trevor Lucas,9221365190,52,61,36,52,48,58,30,54,391,154,90.28935185185185,46
HTNO20250261,Dr. Bobby Wade,Adrienne Mcdaniel,6760614271,52,62,28,46,62,38,21,40,349,158,90.2199074074074,47
HTNO20250323,Jeffery Moore,Debra Owens,7764654722,31,64,35,49,43,52,47,33,354,157,89.98263888888889,48
HTNO20250786,Joseph White,Tony Adams,7103006606,40,57,47,48,66,61,53,40,412,151,89.85532407407408,49
HTNO20250489,William Willis,Kyle Stephens,7192718363,36,48,50,44,73,57,21,49,378,154,89.6875,50
HTNO20250431,Michelle West,Carla Rodriguez,9758961091,71,42,59,32,56,40,52,56,408,151,89.67013888888889,51
HTNO20250612,Dr. Sarah Moore,William Hernandez,7320074687,39,53,49,58,72,51,35,50,407,151,89.6238425925926,52
HTNO20250327,Ashley Johnson,Sergio Green,7234318390,31,37,46,34,40,35,54,35,312,160,89.44444444444444,53
HTNO20250456,Heather Anthony,Mario Freeman,7427365458,63,72,29,58,60,59,52,60,453,146,89.40972222222223,54
HTNO20250430,Nicole Kline,Cassandra Ellis,7816005114,41,41,33,55,67,70,50,40,397,151,89.16087962962963,55
HTNO20250178,Victor Griffith,Charles Potts,6793326037,55,57,46,52,33,30,55,55,383,152,88.98148148148148,56
HTNO20250209,Olivia Rodriguez,Jimmy Meadows,6308967247,71,40,26,38,67,56,36,49,383,152,88.98148148148148,57
HTNO20250293,Sean Neal,Carrie Soto,8988763178,69,69,36,58,32,50,44,55,413,149,88.96412037037037,58
HTNO20250424,John Gonzalez,Amanda Wilson,8981279986,33,40,33,55,49,45,53,52,360,154,88.85416666666666,59
HTNO20250873,Jacob Brown,Christopher Williams,6716238135,36,37,37,58,36,44,45,36,329,157,88.82523148148148,60
HTNO20250936,Michael Walters,Candice Salinas,9653512224,72,48,42,47,37,43,47,53,389,151,88.79050925925927,61
HTNO20250459,James Williams,Jessica Hernandez,8982841157,42,65,49,40,52,53,20,27,348,155,88.76736111111111,62
HTNO20250806,Chad Crawford,Colleen Diaz,8992722154,35,33,26,29,66,34,46,35,304,159,88.60532407407408,63
HTNO20250530,Lynn Martinez,Justin Fleming,9873230686,41,44,26,28,57,38,39,51,324,157,88.59375,64
HTNO20250870,Kim Mejia,Michael Moore,8658978682,33,48,32,49,38,56,45,52,353,154,88.5300925925926,65
HTNO20250284,Kevin Smith,Adam Phillips,7911476857,75,72,34,57,72,56,33,45,444,145,88.52430555555556,66
HTNO20250727,Jasmine Martinez,Steven Hill,9282504513,44,57,31,20,46,37,55,20,310,158,88.41435185185185,67
HTNO20250842,Frank Boyle,Elizabeth Smith,6485407546,50,51,34,52,49,75,38,52,401,149,88.40856481481481,68
HTNO20250857,Nicholas Russell,Margaret Larson,8326632950,42,71,57,20,50,73,39,59,411,148,88.40277777777777,69
HTNO20250775,Mary Sherman,Kevin Mcmahon,8851743686,47,59,37,53,46,68,57,32,399,149,88.31597222222223,70
HTNO20250846,Philip Scott,Jessica Wheeler,8493108884,43,50,36,36,60,61,34,38,358,153,88.29282407407408,71
HTNO20250418,Victor Rivera,Teresa Mckee,7249293229,48,61,52,58,35,49,48,57,408,148,88.26388888888889,72
HTNO20250927,Katherine Alexander,Courtney Schroeder,8289113489,52,70,27,29,48,40,39,20,325,156,88.17129629629629,73
HTNO20250199,Jennifer Jennings,Michael Johnson Jr.,7569155772,47,58,34,55,64,54,22,21,355,153,88.15393518518519,74
HTNO20250380,Sue Martinez,Michael Smith,6337526394,46,55,43,46,37,73,26,38,364,152,88.10185185185185,75
HTNO20250132,Kimberly Mitchell,Sonia Rose,6237920900,64,63,59,26,72,60,36,34,414,147,88.07291666666667,76
HTNO20250093,Linda Shepherd,Jason Obrien,7952202433,54,64,43,29,47,54,52,47,390,149,87.89930555555556,77
HTNO20250963,David Ford,Arthur Martinez,9244774032,75,51,55,22,70,53,26,58,410,147,87.88773148148148,78
HTNO20250496,David Wiggins,Jeffery Smith,8201383234,63,55,30,50,60,74,21,36,389,149,87.85300925925927,79
HTNO20250622,Nicole Kelly,Vincent Black,6898367914,31,39,24,25,47,32,46,33,277,160,87.82407407407408,80
HTNO20250159,Jerry Davis,Stephen Pratt,6664757920,71,35,54,31,31,56,55,44,377,150,87.76620370370371,81
HTNO20250235,Devon Small,Doris Anderson,7334790178,69,74,55,37,37,72,51,52,447,143,87.72569444444444,82
HTNO20250036,Virginia Wong,Jose Lawrence,7316862601,31,33,33,57,63,62,40,26,345,153,87.69097222222223,83
HTNO20250001,Dean Nelson,Jennifer Jones,8589509466,56,39,52,49,67,31,54,47,395,148,87.66203703703704,84
HTNO20250759,Diamond Paul,Kevin Rodriguez,9082617072,64,58,49,54,54,60,45,40,424,145,87.59837962962963,85
HTNO20250915,Mariah Cox,Carrie Diaz,9967659885,62,52,25,24,57,54,21,37,332,154,87.55787037037037,86
HTNO20250479,Jerry Wilson,John Calhoun,7821035465,54,37,46,25,35,67,60,48,372,150,87.53472222222223,87
HTNO20250060,Misty Contreras,Christopher Kerr,7705941913,35,48,36,45,58,32,39,56,349,152,87.4074074074074,88
HTNO20250558,Janet Nguyen,Patrick Payne,9694718154,38,51,41,22,57,41,48,60,358,151,87.35532407407408,89
HTNO20250607,Kenneth Ross,Kevin Rose,7113640026,55,55,58,60,64,43,53,55,443,142,87.07175925925927,90
HTNO20250715,Natalie Diaz,Ashlee Hamilton,7088781784,67,48,51,36,66,39,27,28,362,150,87.07175925925927,91
HTNO20250765,Joan Ray,Christopher King,8292056798,49,67,28,41,75,55,30,37,382,148,87.06018518518519,92
HTNO20250776,Christopher Phillips,Samantha Hansen,8618235921,71,74,40,60,46,41,21,48,401,146,87.00231481481481,93
HTNO20250724,Bradley Holmes,Craig Paul,6371596673,33,66,21,27,67,70,32,33,349,151,86.9386574074074,94
HTNO20250574,Mitchell Madden,Edward Sharp,9071938919,69,33,42,60,35,58,41,40,378,148,86.875,95
HTNO20250924,Michelle Phillips,Marc White,9984424950,69,50,31,45,63,62,56,39,415,144,86.71296296296296,96
HTNO20250220,Michelle Lowe,Vanessa Turner,8760094495,43,65,60,23,32,66,24,31,344,151,86.70717592592592,97
HTNO20250708,Erin Williams,John Simpson,7652918882,69,41,48,35,63,60,36,32,384,147,86.68402777777777,98
HTNO20250046,Brian Wilson,Melissa Kramer,9999031862,66,32,33,47,39,36,47,27,327,152,86.38888888888889,99
HTNO20250472,Austin Martinez,Angela Johnston,6739807752,53,33,59,51,59,51,26,44,376,147,86.3136574074074,100
HTNO20250886,Heather Barnes,Billy Garcia,9921944586,41,67,33,26,70,55,58,24,374,147,86.22106481481481,101
HTNO20250245,Ronald Davis,Kenneth Peterson,9712733660,61,54,41,23,36,75,58,35,383,146,86.16898148148148,102
HTNO20250500,Amy Martin,Crystal Russell,6106350248,60,48,25,35,72,67,53,53,413,143,86.15162037037037,103
HTNO20250664,David Simon,Christopher Davis,7633251491,50,56,36,33,62,43,25,37,342,150,86.14583333333333,104
HTNO20250369,Andrew Wright,Michael Turner,9544000263,38,47,27,52,49,72,27,39,351,149,86.09375,105
HTNO20250819,Randy Smith,Daniel Stevenson,7860569245,52,48,60,40,70,36,39,35,380,146,86.0300925925926,106
HTNO20250461,Allison Hall,Sean Herrera,7407056908,61,40,38,37,52,32,20,49,329,151,86.01273148148148,107
HTNO20250808,Andrew Peters,Debra Powell,7688298507,62,59,26,24,35,34,45,31,316,152,85.87962962962963,108
HTNO20250263,Brenda Neal,Kelly Perez,9099448597,57,72,42,38,59,48,20,20,356,148,85.85648148148148,109
HTNO20250448,Logan Davidson,Scott Sanchez,9675893683,60,48,47,56,72,54,22,47,406,143,85.8275462962963,110
HTNO20250289,Katie Butler,Adrian Ramos,8361145053,65,30,28,54,43,48,30,57,355,148,85.81018518518519,111
HTNO20250543,Janet West,Sierra Aguilar,6659766337,56,71,20,50,67,40,56,25,385,145,85.79282407407408,112
HTNO20250343,James Walker,Melinda Mcmillan,9684744490,48,67,54,31,40,66,38,41,385,145,85.79282407407408,113
HTNO20250800,Nancy Tucker,Daniel Thomas,7470973566,69,58,26,33,37,67,41,33,364,147,85.75810185185185,114
HTNO20250922,Kevin Collier,Jennifer Thompson,6487576452,56,61,33,34,56,37,36,39,352,148,85.6712962962963,115
HTNO20250198,Sarah Boyer,Rachel Turner,9952245611,54,32,47,47,52,71,30,39,372,146,85.65972222222223,116
